"","TriMAP1","TriMAP2"
"579",67.0312,29.241163
"580",-23.530975,37.582947
"581",67.74749,-5.4949846
"582",-31.35836,17.495289
"583",77.79087,-14.409779
"584",-79.57228,-21.597023
"585",-31.242458,13.650742
"586",-67.19553,-23.935408
"587",82.822266,-16.725395
"588",69.05963,-34.38796
"589",-3.59538,-33.42416
"590",85.15807,-24.454395
"591",-79.2089,18.895767
"592",-80.99964,-26.458988
"593",72.93062,-33.63285
"594",-35.940002,34.5817
"595",5.118384,17.59482
"596",-79.96192,24.81215
"597",-16.303852,21.124573
"598",5.3491006,-11.112532
"599",81.32361,7.7004147
"600",3.9383037,16.674223
"601",8.683784,-19.182709
"602",-73.484726,0.34198427
"603",-23.687233,-15.678798
"604",-16.326105,-31.537764
"605",8.166323,-19.824343
"606",68.25372,-3.2747343
"607",86.36826,-24.082792
"608",-48.698086,18.57812
"609",86.12128,12.040362
"610",-80.064415,-19.843866
"611",85.48285,-26.064766
"612",-86.95461,-9.223843
"613",4.9329715,18.053923
"614",66.21988,30.087706
"615",-87.959145,-19.197891
"616",86.769844,9.86298
"617",-21.239126,37.354702
"618",72.30419,-9.438769
"619",55.13873,12.612828
"620",-37.444565,8.180804
"621",-86.78061,-25.917307
"622",84.69902,8.108228
"623",-24.916351,15.876791
"624",77.871475,-15.001068
"625",81.87637,3.7162647
"626",-33.40761,-18.575802
"627",-7.270184,-18.031921
"628",49.21959,-15.620343
"629",48.117638,34.273735
"630",27.116173,-34.279953
"631",2.32865,-18.600222
"632",-70.19104,17.093487
"633",74.17987,-33.343338
"634",-81.65081,24.264786
"635",75.27613,27.05257
"636",23.482409,-31.296762
"637",-13.571105,22.484528
"638",8.7114935,-18.415932
"639",-54.915447,20.264296
"640",78.19672,-31.841122
"641",74.780174,-33.385296
"642",4.9021945,-15.578638
"643",-81.276596,-6.195564
"644",-79.536606,18.003613
"645",56.17122,-33.544353
"646",26.437866,-6.8533583
"647",83.79528,23.031649
"648",85.62141,-14.004355
"649",3.5565293,18.304266
"650",-26.617159,11.622811
"651",36.96226,-35.795383
"652",16.682129,36.810074
"653",48.58457,-15.839589
"654",-9.011901,22.0575
"655",-41.948048,-24.008146
"656",46.326015,-18.092083
"657",74.37518,-16.754515
"658",45.78659,34.819126
"659",86.529366,-16.169554
"660",2.5120435,-5.949438
"661",-16.344616,-25.251272
"662",31.351439,-8.137056
"663",85.69631,8.237076
"664",14.296099,-34.193203
"665",75.00386,28.432272
"666",-82.21512,-27.744747
"667",12.867297,35.214443
"668",-81.16134,-28.430199
"669",-24.034426,23.386507
"670",58.057037,25.48382
"671",81.75725,23.595839
"672",27.246017,-10.81667
"673",30.943872,-4.9564257
"674",-88.232086,-12.070203
"675",87.01499,-24.421219
"676",56.554493,26.744894
"677",35.07197,14.308369
"678",-73.51462,21.960667
"679",85.056496,21.315443
"680",78.437454,-20.45919
"681",37.506466,35.80369
"682",80.22717,27.59573
"683",14.568252,-20.835527
"684",-37.49442,15.346467
"685",78.83712,-28.881916
"686",-86.77831,-25.8721
"687",-37.52442,30.41754
"688",87.09323,-25.55369
"689",-43.17725,-23.570257
"690",-71.99961,-29.810863
"691",-76.40662,-16.46223
"692",-62.68239,-26.172768
"693",-82.58341,-27.546392
"694",24.37253,-20.309603
"695",14.406673,-7.526845
"696",-68.86466,2.238279
"697",79.79476,-17.672024
"698",25.494509,13.101326
"699",28.90433,-8.55583
"700",-21.228247,37.6949
"701",66.72373,13.68566
"702",73.408356,28.64852
"703",-85.39946,7.031939
"704",-87.35252,-17.669834
"705",49.056435,34.24467
"706",49.37917,-0.57951355
"707",26.291538,-31.9287
"708",42.89627,-26.878302
"709",-33.88028,16.782898
"710",-54.26889,-28.405527
"711",79.61889,23.583187
"712",-65.677795,-30.025635
"713",-20.7964,17.06545
"714",67.53597,13.110489
"715",-52.54551,30.77501
"716",-35.05506,30.432093
"717",35.921314,28.135403
"718",-79.17857,-3.2348588
"719",-18.70597,36.392296
"720",-85.52966,-8.1146345
"721",76.0101,-32.872433
"722",-27.961782,-33.03004
"723",-27.696575,21.979248
"724",-89.32145,-13.298921
"725",18.682434,-27.16625
"726",-55.5007,2.7621415
"727",51.266197,-24.98274
"728",-8.46507,27.973589
"729",18.954695,30.479885
"730",80.25398,-19.46702
"731",54.030968,30.928768
"732",-30.441072,16.327099
"733",50.491203,-13.650099
"734",28.724777,7.61491
"735",28.212414,2.4425967
"736",81.64474,22.652334
"737",-50.280167,30.366253
"738",36.169064,35.690746
