"","PaCMAP2","PaCMAP1"
"180",-7.763496,-2.6877985
"181",-8.533394,-8.9295435
"182",3.6473207,12.543293
"183",7.2723536,2.3873606
"184",-2.6673763,1.9103792
"185",1.5940588,-8.628753
"186",1.5939007,0.26352757
"187",-2.3201232,-12.591549
"188",0.7203049,1.8602597
"189",-5.487176,3.019136
"190",4.069568,0.9716575
"191",-2.0209913,8.9567
"192",-7.7305903,-7.478648
"193",-2.9809473,-7.49445
"194",-0.74248654,-13.363515
"195",-5.9389105,2.5125995
"196",3.7659178,0.018784352
"197",-6.549973,0.28873917
"198",-2.1635432,-12.775235
"199",-1.1456689,-9.500278
"200",4.9250145,1.3046865
"201",1.6002367,3.216288
"202",2.125938,10.001829
"203",-1.7233015,-7.793
"204",1.2022521,-10.8650255
"205",0.23270504,12.366866
"206",6.0000954,3.5741274
"207",4.9488115,3.498951
"208",3.7333295,-4.150667
"209",7.2339725,1.5209523
"210",-0.28316262,1.5562508
"211",4.937959,-0.16584533
"212",-3.165689,-12.925726
"213",-2.392028,3.1598482
"214",10.379051,8.981261
"215",-7.3722906,-2.0622246
"216",3.4799662,10.65164
"217",3.6704805,0.06345109
"218",2.3874288,7.611265
"219",7.654291,9.118214
"220",2.1155555,-2.0121882
"221",-1.4186442,2.8053572
"222",-3.4864526,1.9522238
"223",4.9416413,4.3992963
"224",6.4430037,2.7626417
"225",3.56353,12.567702
"226",-1.1084296,-0.31060302
"227",-5.2504005,3.3341181
"228",1.7902828,-7.855521
"229",-0.18556921,-1.8174866
"230",-3.056119,7.5493994
"231",2.7187593,-6.102999
"232",-4.44084,4.5772467
"233",6.368398,3.3506694
"234",4.259972,10.29054
"235",1.8937967,11.997716
"236",-3.9546645,0.098894544
"237",7.195196,8.02138
"238",0.6215382,6.730912
"239",-1.0513029,-5.460558
"240",8.667851,9.495907
"241",0.88071865,-6.2377205
"242",3.5435004,12.356883
"243",-8.526885,-4.962458
"244",5.3425446,1.8233904
"245",0.965008,-11.402103
"246",7.3403683,9.050118
"247",-2.0205631,4.5663066
"248",9.916733,7.82731
"249",9.390608,9.056783
"250",1.0777941,5.7330027
"251",10.352657,8.071892
"252",8.439651,3.719238
"253",5.1517086,2.3126285
"254",-2.1962218,8.644141
"255",-4.822621,-3.52918
"256",2.7244735,-6.04616
"257",-4.4472055,-5.5302424
"258",7.430375,2.0167863
"259",0.46881798,-5.485066
"260",1.8434293,-3.5547187
"261",-6.6856112,-3.9872212
"262",0.41040245,-7.1330376
"263",9.615021,5.1655593
"264",-6.2421756,1.0020585
"265",-9.521453,-8.880911
"266",-0.14398138,6.3018947
"267",1.3344717,-9.638394
"268",3.8667083,-3.6031036
"269",-1.288403,10.506769
"270",1.2732086,-4.228089
"271",-0.31169757,4.52942
"272",7.569352,9.195354
"273",1.7950712,11.068359
"274",-7.0014787,-10.284351
"275",-8.6288,-5.3428636
